id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm
34281-C-001;;Avenue de Campagnan;9 Avenue de Campagnan;Saint-Pargoire;34281;Auto-stop;17/07/2020;True;810157982.0;3.516542;43.528455;;;;;;False;
12240-C-001;;Épicerie de Port d'Agrès;Port d'Agres;Saint-Parthem;12240;Auto-stop;20/06/2019;True;810157982.0;2.2550459;44.6140084;;;;;;True;
34282-C-001;;Arrêt bus Bois d'Arnaud;D619;Saint-Paul-et-Valmalle;34282;Auto-stop;09/03/2021;True;810157982.0;3.6860465;43.6274614;;;;;;False;
47266-C-001;;Mairie;Bourg;Saint-Pe-Saint-Simon;47266;Auto-stop;18/05/2020;True;810157982.0;0.101442;44.00299;;;;;;False;
27587-C-001;;Rue Augustin Hébert;3 rue Augustin Hébert  (à proximité du parking);Saint-Philbert-sur-Risle;27587;Auto-stop;22/10/2020;True;810157982.0;0.65161;49.295464;;;;;;True;
08393-C-001;;Vallée;Au 7  rue de la vallée;Saint-Pierre-a-Arnes;8393;Auto-stop;23/07/2020;True;810157982.0;4.453986;49.2995049;;;;;;False;
38446-C-001;;Saint-Philibert;;Saint-Pierre-d'Entremont;38446;Auto-stop;20/06/2019;True;810157982.0;5.850624;45.380609;;;;;;True;
73274-C-001;;Eglise Saint-Pierre-d'Entremont Savoie;;Saint-Pierre-d'Entremont;73274;Auto-stop;20/06/2019;True;810157982.0;5.855088;45.417969;;;;;;True;
38442-C-001;;Saint-Hugues Ecole;;Saint-Pierre-de-Chartreuse;38442;Auto-stop;20/06/2019;True;810157982.0;5.805009;45.322277;;;;;;False;
66188-C-001;;Narcisses;Grand Rue;Saint-Pierre-dels-Forcats;66188;Auto-stop;26/10/2018;True;810157982.0;2.11822;42.495917;;;;;;False;
17386-C-001;;Le Bourg;Place des écoliers;Saint-Pierre-du-Palais;17386;Auto-stop;02/03/2020;True;810157982.0;-0.15722;45.165382;;;;;;True;
71469-C-001;;Arrêt du Centre;D 45;Saint-Pierre-le-Vieux;71469;Auto-stop;27/04/2018;True;810157982.0;4.5354599;46.2855107;;;;;;True;
08394-C-001;;Stonne;Du côté du 6  grand rue;Saint-Pierremont;8394;Auto-stop;30/07/2020;True;810157982.0;4.9349101;49.4855461;;;;;;False;
71470-C-001;;Arrêt de la Place;;Saint-Point;71470;Auto-stop;27/04/2018;True;810157982.0;4.6168488;46.3400455;;;;;;True;
89365-C-001;;Bourg - Dir. Bléneau;Rue de la Puisaye;Saint-Prive;89365;Auto-stop;22/10/2020;True;810157982.0;2.997628;47.684858;;;;;;True;
82172-C-001;;D33;;Saint-Projet;82172;Auto-stop;17/10/2017;True;810157982.0;1.7905865;44.3046045;;;;;;False;
17388-C-001;;Route de Pons;;Saint-Quantin-de-Rancanne;17388;Auto-stop;26/02/2020;True;810157982.0;-0.594506;45.536318;;;;;;True;
09274-C-001;;Arrêt Nord;;Saint-Quentin-la-Tour;9274;Auto-stop;09/10/2019;True;810157982.0;1.8980431;43.037931;;;;;;False;
37236-C-001;;Centre bourg;16 rue du Val de l'Amassé;Saint-Regle;37236;Auto-stop;19/08/2020;True;810157982.0;1.053609;47.408661;;;;;;True;
62768-C-001;;Rue de Saulchoy;;Saint-Remy-au-Bois;62768;Auto-stop;05/06/2019;True;810157982.0;1.869444;50.364083;;;;;;True;
60595-C-001;;Abribus DECAUX;Rue de l'Eglise  Lotissement des Grands Prés;Saint-Remy-en-l'Eau;60595;Auto-stop;20/06/2019;True;810157982.0;2.431553;49.475585;;;;;;True;
78576-C-001;;La Vierge (vers Les Mesnuls);;Saint-Remy-l'Honore;78576;Auto-stop;02/06/2021;True;810157982.0;1.8840035;48.760378;;;;;;False;
30296-C-001;;Saint-Roman-de-Codières;;Saint-Roman-de-Codieres;30296;Auto-stop;20/11/2020;True;810157982.0;3.778122;44.002699;;;;;;False;
